"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_00345___83848_1","group_13301","K02474","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","UDP-N-acetyl-D-galactosamine dehydrogenase","wbpO"
"PROKKA_00345_1","rnc","K03685","Human Diseases"," Cancers","  05205 Proteoglycans in cancer [PATH:ko05205]","ribonuclease III","rnc, DROSHA, RNT1"
"PROKKA_00345_1","rnc","K03685","Genetic Information Processing"," Translation","  03008 Ribosome biogenesis in eukaryotes [PATH:ko03008]","ribonuclease III","rnc, DROSHA, RNT1"
"PROKKA_00346_1","rnhA","K03469","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","ribonuclease HI","rnhA, RNASEH1"
"PROKKA_00348_1","dnaG","K02316","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA primase","dnaG"
"PROKKA_00349___281783_1","group_25724","K20276","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","large repetitive protein","bapA"
"PROKKA_00349___325629_1","group_26481","K02018","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","molybdate transport system permease protein","modB"
"PROKKA_00349_1","group_1021","K06016","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase","pydC"
"PROKKA_00352___20477_1","group_17102","K02016","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system substrate-binding protein","ABC.FEV.S"
"PROKKA_00354_1","group_3978","K00566","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","tRNA-uridine 2-sulfurtransferase","mnmA, trmU"
"PROKKA_00356___152404_1","group_23248","K00332","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit C","nuoC"
"PROKKA_00358___16827_1","group_5882","K03273","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","gmhB"
"PROKKA_00360___16831_1","oprM_1","K18139","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","outer membrane protein, multidrug efflux system","oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC"
"PROKKA_00360___16831_1","oprM_1","K18139","Human Diseases"," Drug resistance","  01501 beta-Lactam resistance [PATH:ko01501]","outer membrane protein, multidrug efflux system","oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC"
"PROKKA_00362___16835_1","group_7759","K03585","Human Diseases"," Drug resistance","  01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]","membrane fusion protein, multidrug efflux system","acrA, mexA, adeI, smeD, mtrC, cmeA"
"PROKKA_00362___16835_1","group_7759","K03585","Human Diseases"," Drug resistance","  01501 beta-Lactam resistance [PATH:ko01501]","membrane fusion protein, multidrug efflux system","acrA, mexA, adeI, smeD, mtrC, cmeA"
"PROKKA_00362___289643_1","group_25890","K03111","Genetic Information Processing"," Replication and repair","  03430 Mismatch repair [PATH:ko03430]","single-strand DNA-binding protein","ssb"
"PROKKA_00362___289643_1","group_25890","K03111","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","single-strand DNA-binding protein","ssb"
"PROKKA_00362___289643_1","group_25890","K03111","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","single-strand DNA-binding protein","ssb"
"PROKKA_00369___16849_1","group_11254","K00018","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glycerate dehydrogenase","hprA"
"PROKKA_00369___16849_1","group_11254","K00018","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","glycerate dehydrogenase","hprA"
"PROKKA_00369___16849_1","group_11254","K00018","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","glycerate dehydrogenase","hprA"
"PROKKA_00369___16849_1","group_11254","K00018","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","glycerate dehydrogenase","hprA"
"PROKKA_00371___67976_1","group_4643","K14652","Metabolism"," Metabolism of cofactors and vitamins","  00740 Riboflavin metabolism [PATH:ko00740]","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II","ribBA"
"PROKKA_00371_1","haeIIIM_1","K00558","Human Diseases"," Cancers","  05206 MicroRNAs in cancer [PATH:ko05206]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00371_1","haeIIIM_1","K00558","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00372_1","haeIIIM_2","K00558","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00372_1","haeIIIM_2","K00558","Human Diseases"," Cancers","  05206 MicroRNAs in cancer [PATH:ko05206]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00375___16861_1","group_5884","K06159","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","multidrug/microcin transport system ATP-binding/permease protein","yojI"
"PROKKA_00375___20523_1","group_17103","K00978","Metabolism"," Carbohydrate metabolism","  00500 Starch and sucrose metabolism [PATH:ko00500]","glucose-1-phosphate cytidylyltransferase","rfbF"
"PROKKA_00375___20523_1","group_17103","K00978","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","glucose-1-phosphate cytidylyltransferase","rfbF"
"PROKKA_00375___749_1","acpS","K00997","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","holo-[acyl-carrier protein] synthase","acpS"
"PROKKA_00376___16863_1","group_16793","K00330","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit A","nuoA"
"PROKKA_00376___20525_1","group_17104","K01709","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","CDP-glucose 4,6-dehydratase","rfbG"
"PROKKA_00376___242069_1","group_24789","K11749","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","regulator of sigma E protease","rseP"
"PROKKA_00376___242069_1","group_24789","K11749","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","regulator of sigma E protease","rseP"
"PROKKA_00377___16865_1","group_27970","K00331","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit B","nuoB"
"PROKKA_00378___16867_1","group_7761","K00332","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit C","nuoC"
"PROKKA_00378___20529_1","arnB_1","K12452","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","CDP-4-dehydro-6-deoxyglucose reductase, E1","ascC, ddhC, rfbH"
"PROKKA_00379___16869_1","group_7356","K00333","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit D","nuoD"
"PROKKA_00379___20531_1","rfbE","K12454","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","CDP-paratose 2-epimerase","rfbE"
"PROKKA_00379___20531_1","rfbE","K12454","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","CDP-paratose 2-epimerase","rfbE"
"PROKKA_00380___118810_1","ydiO_1","K00558","Human Diseases"," Cancers","  05206 MicroRNAs in cancer [PATH:ko05206]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00380___118810_1","ydiO_1","K00558","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00380___48451_1","group_18002","K01808","Metabolism"," Carbohydrate metabolism","  00051 Fructose and mannose metabolism [PATH:ko00051]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00380___48451_1","group_18002","K01808","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00380___48451_1","group_18002","K01808","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00380___48451_1","group_18002","K01808","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00380___48451_1","group_18002","K01808","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00382___16875_1","group_4857","K00336","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit G","nuoG"
"PROKKA_00382___281849_1","banIM","K00558","Human Diseases"," Cancers","  05206 MicroRNAs in cancer [PATH:ko05206]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00382___281849_1","banIM","K00558","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00383___16877_1","nqo8","K00337","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit H","nuoH"
"PROKKA_00384___16879_1","group_7763","K00338","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit I","nuoI"
"PROKKA_00385___16881_1","group_10170","K00339","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit J","nuoJ"
"PROKKA_00385___24393_1","group_14600","K03186","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","flavin prenyltransferase","ubiX, PAD1"
"PROKKA_00385___24393_1","group_14600","K03186","Metabolism"," Biosynthesis of other secondary metabolites","  00940 Phenylpropanoid biosynthesis [PATH:ko00940]","flavin prenyltransferase","ubiX, PAD1"
"PROKKA_00387___103567_1","group_19639","K01082","Metabolism"," Energy metabolism","  00920 Sulfur metabolism [PATH:ko00920]","3'(2'), 5'-bisphosphate nucleotidase","cysQ, MET22, BPNT1"
"PROKKA_00387___16885_1","group_5526","K00341","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit L","nuoL"
"PROKKA_00390___72053_1","lepB_1","K03100","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase I","lepB, TPP"
"PROKKA_00390___72053_1","lepB_1","K03100","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","signal peptidase I","lepB, TPP"
"PROKKA_00392___138890_1","group_20348","K20810","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","aminodeoxyfutalosine deaminase","mqnX"
"PROKKA_00394_1","moeA_2","K03750","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","molybdopterin molybdotransferase","moeA"
"PROKKA_00396___159792_1","ydiO","K00558","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00396___159792_1","ydiO","K00558","Human Diseases"," Cancers","  05206 MicroRNAs in cancer [PATH:ko05206]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00396___361249_1","ubiD_1","K03182","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","4-hydroxy-3-polyprenylbenzoate decarboxylase","ubiD"
"PROKKA_00397___16905_1","ribBA","K14652","Metabolism"," Metabolism of cofactors and vitamins","  00740 Riboflavin metabolism [PATH:ko00740]","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II","ribBA"
"PROKKA_00397___179247_1","group_2785","K03601","Genetic Information Processing"," Replication and repair","  03430 Mismatch repair [PATH:ko03430]","exodeoxyribonuclease VII large subunit","xseA"
"PROKKA_00397___20567_1","group_12719","K02397","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar hook-associated protein 3 FlgL","flgL"
"PROKKA_00398___16907_1","group_7765","K00606","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","3-methyl-2-oxobutanoate hydroxymethyltransferase","panB"
"PROKKA_00400_1","pyk","K00873","Organismal Systems"," Endocrine system","  04922 Glucagon signaling pathway [PATH:ko04922]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Human Diseases"," Endocrine and metabolic diseases","  04930 Type II diabetes mellitus [PATH:ko04930]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Human Diseases"," Cancers","  05203 Viral carcinogenesis [PATH:ko05203]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Human Diseases"," Cancers","  05230 Central carbon metabolism in cancer [PATH:ko05230]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","pyruvate kinase","PK, pyk"
"PROKKA_00400_1","pyk","K00873","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate kinase","PK, pyk"
"PROKKA_00404_1","recR","K06187","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","recombination protein RecR","recR"
"PROKKA_00405___79961_1","group_13283","K02959","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S16","RP-S16, MRPS16, rpsP"
"PROKKA_00405___83968_1","hldE_1","K03272","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase","gmhC, hldE, waaE, rfaE"
"PROKKA_00405_1","trpGD","K13497","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","anthranilate synthase/phosphoribosyltransferase","trpGD"
"PROKKA_00405_1","trpGD","K13497","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","anthranilate synthase/phosphoribosyltransferase","trpGD"
"PROKKA_00406___83970_1","gmhA1_1","K03271","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","D-sedoheptulose 7-phosphate isomerase","gmhA, lpcA"
"PROKKA_00406_1","trpF","K01817","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_00406_1","trpF","K01817","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_00407_1","trpB","K01696","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","tryptophan synthase beta chain","trpB"
"PROKKA_00407_1","trpB","K01696","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","tryptophan synthase beta chain","trpB"
"PROKKA_00407_1","trpB","K01696","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","tryptophan synthase beta chain","trpB"
"PROKKA_00408_1","trpA","K01695","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","tryptophan synthase alpha chain","trpA"
"PROKKA_00408_1","trpA","K01695","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","tryptophan synthase alpha chain","trpA"
"PROKKA_00408_1","trpA","K01695","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","tryptophan synthase alpha chain","trpA"
"PROKKA_00410___12935_1","group_5104","K11752","Metabolism"," Metabolism of cofactors and vitamins","  00740 Riboflavin metabolism [PATH:ko00740]","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","ribD"
"PROKKA_00410___12935_1","group_5104","K11752","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","ribD"
"PROKKA_00410___64206_1","group_13175","K00018","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","glycerate dehydrogenase","hprA"
"PROKKA_00410___64206_1","group_13175","K00018","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","glycerate dehydrogenase","hprA"
"PROKKA_00410___64206_1","group_13175","K00018","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glycerate dehydrogenase","hprA"
"PROKKA_00410___64206_1","group_13175","K00018","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","glycerate dehydrogenase","hprA"
"PROKKA_00410_1","fliN_1","K02417","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","flagellar motor switch protein FliN/FliY","fliNY, fliN"
"PROKKA_00410_1","fliN_1","K02417","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar motor switch protein FliN/FliY","fliNY, fliN"
"PROKKA_00411___242139_1","gpmI_1","K15633","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_00411___242139_1","gpmI_1","K15633","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_00411___242139_1","gpmI_1","K15633","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_00411___242139_1","gpmI_1","K15633","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_00411___242139_1","gpmI_1","K15633","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmI"
"PROKKA_00411___79973_1","group_18903","K03100","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase I","lepB, TPP"
"PROKKA_00411___79973_1","group_18903","K03100","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","signal peptidase I","lepB, TPP"
"PROKKA_00411___83980_1","asd_1","K00133","Metabolism"," Biosynthesis of other secondary metabolites","  00261 Monobactam biosynthesis [PATH:ko00261]","aspartate-semialdehyde dehydrogenase","asd"
"PROKKA_00411___83980_1","asd_1","K00133","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","aspartate-semialdehyde dehydrogenase","asd"
"PROKKA_00411___83980_1","asd_1","K00133","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","aspartate-semialdehyde dehydrogenase","asd"
"PROKKA_00411___83980_1","asd_1","K00133","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","aspartate-semialdehyde dehydrogenase","asd"
"PROKKA_00411___83980_1","asd_1","K00133","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","aspartate-semialdehyde dehydrogenase","asd"
"PROKKA_00411___83980_1","asd_1","K00133","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","aspartate-semialdehyde dehydrogenase","asd"
"PROKKA_00412_1","gppA_1","K01524","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase","ppx-gppA"
"PROKKA_00416___28501_1","group_971","K03406","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_00416___28501_1","group_971","K03406","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_00416_1","plsY","K08591","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","glycerol-3-phosphate acyltransferase PlsY","plsY"
"PROKKA_00416_1","plsY","K08591","Metabolism"," Lipid metabolism","  00561 Glycerolipid metabolism [PATH:ko00561]","glycerol-3-phosphate acyltransferase PlsY","plsY"
"PROKKA_00418___16947_1","group_4859","K02843","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","heptosyltransferase II","waaF, rfaF"
"PROKKA_00419___152530_1","group_23257","K00286","Metabolism"," Amino acid metabolism","  00330 Arginine and proline metabolism [PATH:ko00330]","pyrroline-5-carboxylate reductase","proC"
"PROKKA_00419___152530_1","group_23257","K00286","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyrroline-5-carboxylate reductase","proC"
"PROKKA_00419___16949_1","glgA","K02844","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase","waaG, rfaG"
"PROKKA_00419___837_1","group_14082","K04066","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","primosomal protein N' (replication factor Y) (superfamily II helicase)","priA"
"PROKKA_00419_1","tsaA","K03386","Cellular Processes"," Cell growth and death","  04214 Apoptosis - fly [PATH:ko04214]","peroxiredoxin (alkyl hydroperoxide reductase subunit C)","PRDX2_4, ahpC"
"PROKKA_00420___16951_1","group_5240","K02335","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","DNA polymerase I","DPO1, polA"
"PROKKA_00420___16951_1","group_5240","K02335","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA polymerase I","DPO1, polA"
"PROKKA_00420___16951_1","group_5240","K02335","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","DNA polymerase I","DPO1, polA"
"PROKKA_00420___16951_1","group_5240","K02335","Genetic Information Processing"," Replication and repair","  03420 Nucleotide excision repair [PATH:ko03420]","DNA polymerase I","DPO1, polA"
"PROKKA_00420___16951_1","group_5240","K02335","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","DNA polymerase I","DPO1, polA"
"PROKKA_00420___16951_1","group_5240","K02335","Genetic Information Processing"," Replication and repair","  03410 Base excision repair [PATH:ko03410]","DNA polymerase I","DPO1, polA"
"PROKKA_00420_1","fabH","K00648","Metabolism"," Lipid metabolism","  00061 Fatty acid biosynthesis [PATH:ko00061]","3-oxoacyl-[acyl-carrier-protein] synthase III","fabH"
"PROKKA_00420_1","fabH","K00648","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-oxoacyl-[acyl-carrier-protein] synthase III","fabH"
"PROKKA_00421_1","plsX","K03621","Metabolism"," Lipid metabolism","  00561 Glycerolipid metabolism [PATH:ko00561]","glycerol-3-phosphate acyltransferase PlsX","plsX"
"PROKKA_00421_1","plsX","K03621","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","glycerol-3-phosphate acyltransferase PlsX","plsX"
"PROKKA_00422___16955_1","group_5889","K01925","Metabolism"," Metabolism of other amino acids","  00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]","UDP-N-acetylmuramoylalanine--D-glutamate ligase","murD"
"PROKKA_00422___16955_1","group_5889","K01925","Metabolism"," Glycan biosynthesis and metabolism","  00550 Peptidoglycan biosynthesis [PATH:ko00550]","UDP-N-acetylmuramoylalanine--D-glutamate ligase","murD"
"PROKKA_00422___289763_1","group_25913","K01695","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","tryptophan synthase alpha chain","trpA"
"PROKKA_00422___289763_1","group_25913","K01695","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","tryptophan synthase alpha chain","trpA"
"PROKKA_00422___289763_1","group_25913","K01695","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","tryptophan synthase alpha chain","trpA"
"PROKKA_00422___843_1","group_16208","K02314","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","replicative DNA helicase","dnaB"
"PROKKA_00422___843_1","group_16208","K02314","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","replicative DNA helicase","dnaB"
"PROKKA_00422_1","rpmF","K02911","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L32","RP-L32, MRPL32, rpmF"
"PROKKA_00423___60398_1","group_18352","K00859","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","dephospho-CoA kinase","coaE"
"PROKKA_00424___64234_1","group_18492","K00336","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","NADH-quinone oxidoreductase subunit G","nuoG"
"PROKKA_00424_1","ndk","K00940","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","nucleoside-diphosphate kinase","ndk, NME"
"PROKKA_00424_1","ndk","K00940","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","nucleoside-diphosphate kinase","ndk, NME"
"PROKKA_00424_1","ndk","K00940","Environmental Information Processing"," Signal transduction","  04016 MAPK signaling pathway - plant [PATH:ko04016]","nucleoside-diphosphate kinase","ndk, NME"
"PROKKA_00425___16961_1","group_14396","K02421","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar biosynthetic protein FliR","fliR"
"PROKKA_00426_1","uvrA","K03701","Genetic Information Processing"," Replication and repair","  03420 Nucleotide excision repair [PATH:ko03420]","excinuclease ABC subunit A","uvrA"
